Order_ID,Layer_Index,Product_ID,x,y,w,h,Quantity
9,1,4,0,69,117,26,3
9,1,9,70,0,42,64,4
9,2,5,0,0,78,52,4
9,2,14,0,52,70,46,4
9,2,11,70,52,27,40,1
9,2,8,97,36,21,64,2
9,2,1,78,0,39,26,1
9,3,12,0,0,35,46,2
9,3,13,0,46,70,23,2
9,3,17,35,0,35,46,2
9,3,2,0,69,39,26,1
9,3,16,39,69,35,23,1
9,3,10,70,0,21,32,1
10,0,3,0,0,117,52,6
10,0,6,0,52,78,39,3
10,0,0,78,52,29,39,1
10,1,8,0,0,117,52,6
10,1,6,0,52,78,39,3
10,1,0,78,52,29,39,1
10,2,9,0,0,117,52,6
10,2,10,0,52,78,39,3
10,2,1,78,52,29,39,1
10,3,15,0,0,117,52,6
10,3,2,0,52,52,39,2
10,3,1,52,52,29,39,1
10,3,4,81,52,26,39,1
10,4,5,0,0,39,52,2
10,4,13,0,52,52,39,2
10,4,14,39,0,39,52,2
10,4,16,78,0,39,52,2
10,4,4,52,52,26,39,1
10,4,7,78,52,26,39,1
10,5,10,0,0,39,26,1
10,5,11,39,0,39,26,1
10,5,12,78,0,39,26,1
11,0,0,0,0,78,78,6
11,0,3,78,0,39,78,3
11,0,12,0,78,64,21,2
11,0,19,64,78,46,15,1
11,1,3,0,0,39,78,3
11,1,25,0,78,64,21,2
11,1,1,64,48,39,52,2
11,1,4,39,0,78,26,2
11,1,20,103,54,15,46,1
11,1,18,103,29,17,25,1
11,1,11,39,44,22,34,1
11,2,9,0,0,39,52,2
11,2,10,0,52,52,39,2
11,2,21,39,0,40,26,1
11,2,22,39,26,40,26,1
11,2,13,52,52,27,40,1
11,2,14,79,0,40,27,1
11,2,15,79,27,40,27,1
11,2,16,79,54,27,40,1
11,3,17,0,0,27,40,1
11,3,23,0,40,40,26,1
11,3,24,27,0,26,40,1
11,3,0,0,66,39,26,1
11,3,2,39,66,39,26,1
11,3,5,40,40,39,26,1
11,3,6,78,66,39,26,1
11,3,7,53,0,26,39,1
11,3,8,79,0,39,26,1
12,0,8,0,0,87,69,9
12,0,16,87,0,32,100,8
12,0,17,0,69,64,25,4
12,0,8,64,69,23,29,1
12,1,17,0,0,50,48,6
12,1,14,0,48,80,27,2
12,1,2,80,48,39,52,2
12,1,16,0,75,32,25,2
12,1,18,32,75,32,25,2
12,1,9,50,0,27,40,1
12,1,10,77,0,27,40,1
12,2,3,0,0,39,52,2
12,2,11,0,52,27,40,1
12,2,12,27,52,27,40,1
12,2,0,39,0,39,26,1
12,2,1,39,26,39,26,1
12,2,13,54,52,27,40,1
12,2,4,78,0,39,26,1
12,2,5,78,26,39,26,1
12,2,15,81,52,27,40,1
12,3,6,0,0,39,26,1
12,3,7,39,0,39,26,1
13,0,0,0,0,78,52,4
13,0,12,78,0,38,100,4
13,0,10,0,52,58,46,4
13,0,16,58,52,15,46,1
13,1,5,0,0,78,52,4
13,1,11,0,52,87,46,6
13,1,1,78,0,39,52,2
13,1,17,87,52,30,46,2
13,2,7,0,0,78,52,4
13,2,3,78,0,26,78,2
13,2,6,0,52,78,26,2
13,2,16,104,0,15,46,1
13,2,17,104,46,15,46,1
13,2,15,0,78,50,17,2
13,2,14,50,78,25,17,1
13,3,10,0,0,29,46,2
13,3,0,0,46,39,26,1
13,3,2,0,72,39,26,1
13,3,4,29,0,26,39,1
13,3,8,39,39,39,26,1
13,3,9,55,0,26,39,1
13,3,13,78,39,38,25,1
14,0,1,0,0,78,78,6
14,0,2,78,0,39,78,3
14,0,21,0,78,66,22,2
14,0,10,66,78,50,16,2
14,1,12,0,0,70,69,6
14,1,3,0,69,78,26,2
14,1,11,70,0,50,32,4
14,1,16,70,32,46,35,2
14,1,8,78,67,42,32,2
14,2,17,0,0,35,69,3
14,2,18,0,69,70,23,2
14,2,22,70,34,22,66,2
14,2,0,92,61,26,39,1
14,2,13,35,46,35,23,1
14,2,14,35,23,35,23,1
14,2,7,70,0,22,34,1
14,2,15,35,0,35,23,1
14,2,2,92,0,26,39,1
14,3,4,0,0,39,26,1
14,3,5,39,0,39,26,1
14,3,6,78,0,39,26,1
